listing_id,new_price
3881993,508.1043956043956
743211,569.9850299401197
115936,525
50032,725
10153739,553.7094017094017
10153536,553.7094017094017
475259,506.8965517241379
10136854,553.7094017094017
13445221,563.1714285714286
14813006,584.0652818991098
13918656,531.461318051576
7618925,601.8918918918919
9862792,540.5163398692811
13995573,521.3809523809524
5783197,617.8247734138973
8303267,1724.6246246246246
6972426,575
5088560,652.8689655172413
1810397,800
7740592,705.2197802197802
1214214,521.4285714285714
3415245,742.6470588235294
10882267,1250
2277821,608.6802325581396
2881388,810.5321100917431
13466910,517.8717201166181
11122394,529.7818791946308
9231486,649.1608187134503
5919529,669.2460317460317
7853079,574.6855345911949
3673688,699
13060113,539.876404494382
7109689,600
11521541,680
6627802,1000
10052037,553.7094017094017
10051842,648.5483870967741
7633883,1004.1505376344086
14035936,600
14758045,1235
10857914,653.265306122449
3351728,819.1111111111111
14798673,1345
7527149,627.2910216718266
5690424,697.641196013289
6066455,879.1057401812689
6326257,671.5823529411765
11866651,606.1353383458646
1966195,519
820073,583.5845697329377
4812786,564.3013698630137
12972378,4000
6844012,647.7350427350427
10036192,712.3123287671233
6444138,512.8372093023256
10228764,553.7094017094017
2214923,514.5813953488372
12184433,999
10053549,553.7094017094017
10053928,553.7094017094017
11563716,578.7222222222222
2649521,600
10053032,525.2831858407079
10053454,553.7094017094017
10052824,618.6296296296297
10052622,551.982905982906
10052920,528.1452991452992
10052445,524.5855855855856
7134081,698.3026706231454
14291722,1250
11735784,502.6029411764706
11734812,505.86131386861314
11970702,700
6629066,643.8066465256798
4090224,545.1346938775511
7611271,641.9180790960452
6544715,695.9821428571429
13190410,533.8983050847457
6640662,1000
14463855,568.8076923076923
6838488,951.1204481792718
13606268,690.0575342465753
13004551,529
14744740,576.5581395348837
